Course Code,Course Title,Duration (min),Instructors,Days,Start Time,End Time,Enrollment,Class Venues
DISC 331-LEC 1,Project Management,75,Zehra Waheed,MW,9:30 AM,10:45 AM,60,SDSB 101
DISC 335-LEC 1,Management,75,Zaid Saeed Khan,TR,9:30 AM,10:45 AM,60,Acad Block A-4
DISC 420-LEC 1,Business Analytics,75,Maheen Aamir Syed,TR,12:30 PM,1:45 PM,55,SDSB TRDLB
DISC 420-LEC 2,Business Analytics,75,Maheen Aamir Syed,TR,2:00 PM,3:15 PM,55,SDSB TRDLB
ECON 100-LEC 1,Principles of Economics,110,Nadia Mukhtar Sayed,MW,9:30 AM,11:20 AM,65,SDSB B-2
ECON 111-LEC 2,Principles of Microeconomics,75,Faisal Bari,TR,10:00 AM,11:15 AM,60,SAHSOL CR 1-01
ECON 111-LEC 3,Principles of Microeconomics,75,Faisal Bari,TR,12:30 PM,1:45 PM,59,Acad Block A-3
ECON 121-LEC 1,Principles of Macroeconomics,75,Kashif Zaheer Malik,MW,12:00 PM,1:15 PM,59,Acad Block A-3
ECON 121-LEC 1,Principles of Macroeconomics,75,Fahd Ali,MW,12:00 PM,1:15 PM,59,Acad Block A-3
ECON 121-LEC 2,Principles of Macroeconomics,75,Kashif Zaheer Malik,MW,10:30 AM,11:45 AM,60,Acad Block A-8
ECON 121-LEC 2,Principles of Macroeconomics,75,Fahd Ali,MW,10:30 AM,11:45 AM,60,Acad Block A-8
ECON 121-LEC 3,Principles of Macroeconomics,75,Sheraz Latif Malik,TR,10:30 AM,11:45 AM,62,SAHSOL SBACR 0-01
ECON 211-LEC 1,Intermediate Microeconomics,110,Ayesha Ali,MW,10:00 AM,11:50 AM,60,Acad Block A-7
ECON 211-LEC 2,Intermediate Microeconomics,110,Ayesha Ali,TR,10:00 AM,11:50 AM,60,Acad Block A-12
ECON 221-LEC 1,Intermediate Macroeconomics,110,Daniyal Khan,TR,10:00 AM,11:50 AM,60,SAHSOL CR 1-07
ECON 221-LEC 2,Intermediate Macroeconomics,110,Daniyal Khan,TR,2:00 PM,3:50 PM,60,SAHSOL CR 1-01
ECON 230-LEC 1,Statistics and Data Analysis,90,Rabia Khan,TR,12:00 PM,1:30 PM,60,Acad Block A-16
ECON 230-LEC 2,Statistics and Data Analysis,90,Usman Elahi,MW,2:00 PM,3:30 PM,58,SDSB B-3
ECON 230-LEC 3,Statistics and Data Analysis,90,Usman Elahi,MW,11:00 AM,12:30 PM,60,Acad Block MCB Acad Block A-13
ECON 233-LEC 1,Introduction to Game Theory,110,Lyyla Khalid,MW,10:00 AM,11:50 AM,35,SAHSOL CR 1-07
ECON 233-LEC 2,Introduction to Game Theory,110,Lyyla Khalid,TR,10:00 AM,11:50 AM,35,Acad Block A-5
ECON 240-LEC 1,Development Economics,110,Nadia Mukhtar Sayed,TR,3:00 PM,4:50 PM,50,Acad Block A-11
ECON 247-LEC 1,Sectors and Policy in Development,110,Hadia Majid,MW,10:00 AM,11:50 AM,50,Acad Block A-15
ECON 261-LEC 1,Principles of Finance,110,Sheraz Latif Malik,TR,12:00 PM,1:50 PM,50,SAHSOL SBACR 0-01
ECON 262-LEC 1,Mathematical Applications in Economics,110,Mushtaq Ahmad Khan,MW,10:00 AM,11:50 AM,67,Acad Block A-12
ECON 323-LEC 1,Economic History of South Asia,110,Fahd Ali,TR,12:00 PM,1:50 PM,50,Acad Block A-11
ECON 330-LEC 1,Econometrics,90,Farah Said,MW,10:00 AM,11:30 AM,65,SAHSOL CR 1-01
ECON 330-LEC 2,Econometrics,90,Naseer,TR,10:00 AM,11:30 AM,65,SAHSOL ARDCR 0-07
ECON 343-LEC 1,Agriculture and Food Policy,110,Abid Aman Burki,TR,2:00 PM,3:50 PM,50,Acad Block A-5
ECON 3603-LEC 1,Applications to Pakistan,110,Ahmed M. Khalid .,MW,10:00 AM,11:50 AM,50,SAHSOL SBACR 0-01
ECON 363-LEC 1,Economics of Investment and Finance,110,Syed Zahid Ali,MW,9:30 AM,11:20 AM,50,Acad Block SS
ECON 4102-LEC 1,Gender and the Labor Market,110,Hadia Majid,TR,10:00 AM,11:50 AM,45,Acad Block A-9
ECON 438-LEC 1,Econometrics II,110,Adeel Tariq,MW,12:00 PM,1:50 PM,50,Acad Block A-8
ECON 441-LEC 1,Development Economics Theory,110,Khalid Mir,MW,3:00 PM,4:50 PM,50,Acad Block A-15
ECON 4410-LEC 1,Issues in Economic Policy,110,Ijaz Nabi,MW,9:00 AM,10:50 AM,40,Acad Block MCB Acad Block A-13
ECON 4410-LEC 1,Issues in Economic Policy,110,Nazish Afraz,MW,9:00 AM,10:50 AM,40,Acad Block MCB Acad Block A-13
ECON 449-LEC 1,Philosophy and Economics,110,Khalid Mir,MW,10:00 AM,11:50 AM,45,SAHSOL ARDCR 0-07
ECON 511-LEC 1,Microeconomic Analysis,110,Osama Khan,MW,10:00 AM,11:50 AM,25,Acad Block A-2
ECON 531-LEC 1,Methodology I,110,Mushtaq Ahmad Khan,TR,10:00 AM,11:50 AM,25,Acad Block A-2
ECON 536-LEC 1,Economists,110,Syed Zahid Ali,MW,3:00 PM,4:50 PM,25,SAHSOL CR 2-01
EDU 210-LEC 1,Critical Debates in Education,75,Gulab Khan,TR,10:00 AM,11:15 AM,40,Lib Bldg SOE 01
EDU 218-LEC 1,Issues,75,Farah Syed,TR,12:00 PM,1:15 PM,30,Lib Bldg SOE 03
EDU 223-LEC 1,Creating Cultures of Support and Change,75,Fizza Suhail,TR,12:00 PM,1:15 PM,20,Lib Bldg SOE 02
EDU 274-LEC 1,Gender Media and Education,75,Hasham Nasir,MW,10:00 AM,11:15 AM,15,Lib Bldg SOE 03
