Course Code, Section, Duration, Instructors, Class Venues, Days
CHEM 101, LEC 1, 1.5, Habib-ur- Rehman, SBASSE 9-B2, MW
ECON 100, LEC 1, 2, Nadia Mukhtar Sayed, SDSB B-2, MW
FINN 100, LEC 1, 1.5, Salman Khan, SDSB 203, MW
ECON 261, LEC 1, 2, Sheraz Latif Malik, SAHSOL SBACR 0-01, TR
ACCT 100, LEC 7, 1.5, Saira Rizwan, Acad Block A-1, MW
ACCT 100, LEC 6, 1.5, Saira Rizwan, Acad Block A-1, MW
ACCT 100, LEC 4, 1.5, Zainab Mehmood, SDSB 101, TR
ACCT 100, LEC 3, 1.5, Syed Zain ul Abidin, Acad Block A-7, TR
ACCT 100, LEC 2, 1.5, Syed Zain ul Abidin, Acad Block A-7, TR
ACCT 100, LEC 1, 1.5, Syed Zain ul Abidin, Acad Block A-7, TR
ECON 121, LEC 1, 1.5, Kashif Zaheer Malik, Acad Block A-3, MW
ECON 121, LEC 1, 1.5, Fahd Ali, Acad Block A-3, MW
ECON 121, LEC 2, 1.5, Kashif Zaheer Malik, Acad Block A-8, MW
ECON 121, LEC 2, 1.5, Fahd Ali, Acad Block A-8, MW
ECON 121, LEC 3, 1.5, Sheraz Latif Malik, SAHSOL SBACR 0-01, TR
MGMT 142, LEC 6, 1.5, Nawaz Butt, Acad Block A-14, MW
MGMT 142, LEC 5, 1.5, Mohsin Bashir, SDSB 105, MW
MGMT 142, LEC 1, 1.5, Mujeeb Rashid, Acad Block A-4, TR
MGMT 142, LEC 7, 1.5, Nawaz Butt, Acad Block A-14, TR
MGMT 142, LEC 3, 1.5, Qureshi, Acad Block A-15, TR
MGMT 142, LEC 2, 1.5, Qureshi, Acad Block A-15, TR
MGMT 142, LEC 4, 1.5, Afaf Khalid, Acad Block A-7, TR
ACCT 130, LEC 3, 1.5, Ayesha Bhatti, SDSB B-1, TR
ACCT 130, LEC 7, 1.5, Mahin Moazzam, SDSB 203, TR
ACCT 130, LEC 4, 1.5, Ayesha Bhatti, SDSB B-1, TR
ACCT 130, LEC 2, 1.5, Ayesha Bhatti, SDSB B-1, TR
ACCT 130, LEC 6, 1.5, Mahin Moazzam, SDSB 101, TR
ACCT 130, LEC 1, 1.5, Ayesha Bhatti, SDSB B-1, TR
ACCT 130, LEC 5, 1.5, Mahin Moazzam, SDSB 101, TR
MKTG 201, LEC 4, 1.5, Aleena Iqtidar, SDSB 201, MW
MKTG 201, LEC 1, 1.5, Muhammad Asim, SDSB 105, TR
MKTG 201, LEC 3, 1.5, Mahira Ilyas, SDSB 201, TR
MKTG 201, LEC 2, 1.5, Mahira Ilyas, SDSB 201, TR
MECO 111, LEC 2, 1.5, Sameen Zafar, SDSB 105, MW
MECO 111, LEC 6, 1.5, Abid Raza Khan, Acad Block A-7, MW
MECO 111, LEC 1, 1.5, Sameen Zafar, SDSB 105, MW
MECO 111, LEC 5, 1.5, Rabia Khan, SDSB 101, TR
ECON 111, LEC 3, 1.5, Faisal Bari, Acad Block A-3, TR
MECO 111, LEC 4, 1.5, Ummad Mazhar, SDSB 204, TR
ECON 111, LEC 2, 1.5, Faisal Bari, SAHSOL CR 1-01, TR
MECO 111, LEC 3, 1.5, Ummad Mazhar, SDSB 204, TR
MATH 230, LEC 1, 1.5, Reza Abdolmaleki, SBASSE 9-B2, MW
MATH 5300, LEC 1, 1.5, Sultan Sial, SAHSOL GHKCR 0-02, TR
DISC 203, LEC 3, 1.5, Ijaz Haider Naqvi, SDSB B-2, TR
DISC 203, LEC 2, 1.5, Ijaz Haider Naqvi, SDSB B-2, TR
DISC 203, LEC 1, 1.5, Ijaz Haider Naqvi, SDSB B-2, TR
SS 3302, LEC 1, 2, Aamna Khalid, Acad Block A-3, MW
DISC 331, LEC 1, 1.5, Zehra Waheed, SDSB 101, MW
PSY 220, LEC 1, 2, Tahira Haider, Acad Block MCB Acad Block A-13, MW
MGMT 243, LEC 1, 1.5, Mohsin Bashir, Acad Block A-14, TR
MGMT 247, LEC 1, 1.5, Sajid Siddique, SDSB 201, TR
LAW 352, LEC 2, 2, Madiha Talat, SAHSOL GHKCR 0-02, MW
LAW 352, LEC 1, 2, Sikandar Ahmed Shah, SAHSOL MMACR 1-02, MW
HIST 314, LEC 1, 2, Khan, Acad Block A-1, MW
PHY 5114, LEC 1, 1.5, Muhammad Faryad, Acad Block A-8, TR
CHEM 314, LEC 1, 1.5, Habib-ur- Rehman, Acad Block A-6, MW
PHY 212, LEC 1, 1.5, Syed Moeez Hassan, Acad Block A-3, MW
PHY 404, LEC 1, 1.5, Syed Moeez Hassan, SBASSE 10-202, TR
REL 315, LEC 1, 2, Nauman Faizi, Acad Block A-15, TR
LAW 280, LEC 1, 2, Adnan Sattar, SAHSOL SIACR 0-06, TR
MGMT 242, LEC 3, 1.5, Razi Allah Lone, SDSB B-2, TR
MGMT 242, LEC 2, 1.5, Razi Allah Lone, SDSB B-2, TR
MGMT 242, LEC 1, 1.5, Razi Allah Lone, Acad Block A-3, TR
DISC 322, LEC 2, 1.5, Kamran Rashid, SDSB 201, MW
DISC 322, LEC 1, 1.5, Kamran Rashid, SDSB 201, MW
CS 334, LEC 1, 1.5, Ihsan Ayyub Qazi, SDSB B-3, TR
ECON 247, LEC 1, 2, Hadia Majid, Acad Block A-15, MW
CS 682, LEC 1, 1.5, Zaffar, SAHSOL CR 2-06, TR
CHEM 721, LEC 1, 1.5, Chotana, Acad Block A-8, MW
CHEM 731, LEC 1, 1.5, Irshad Hussain, Acad Block SS, MW
CLCA 3211, LEC 1, 2, Zebunnisa Hamid, Acad Block A-9, TR
CHE 320, LEC 1, 1.5, Tauqeer Abbas, SAHSOL SBACR 0-01, TR
PSY 300, LEC 1, 2, Imran Rashid, SDSB 305, TR
EDU 3207, LEC 1, 1.5, Mariam Haider, Lib Bldg SOE 03, TR
ENGL 2811, LEC 1, 2, Sadia Zulfiqar, Acad Block A-9, MW
PHY 313, LEC 1, 2, Aeysha Khalique, SBASSE 10-204, TR
ECON 230, LEC 2, 1.5, Usman Elahi, SDSB B-3, MW
ECON 230, LEC 3, 1.5, Usman Elahi, Acad Block MCB Acad Block A-13, MW
ECON 230, LEC 1, 1.5, Rabia Khan, Acad Block A-16, TR
SCI 503, LEC 1, 1.5, Anusheh Attique, SDSB 305, MW
SCI 503, LEC 1, 1.5, Alizai, SDSB 305, MW
MGMT 400, LEC 2, 1.5, Adnan Zahid, SDSB 203, MW
MGMT 400, LEC 1, 1.5, Adnan Zahid, SDSB 203, TR
MGMT 400, LEC 3, 1.5, Salma Zaman, SDSB 203, TR
SOC 265, LEC 1, 2, Nida Yasmeen Kirmani, SAHSOL ARDCR 0-07, MW
POL 366, LEC 1, 2, Syed Rashid Munir, SBASSE 10-204, TR
HIST 329, LEC 1, 2, Hassan Haider Karrar, SDSB 205, TR
CLCA 3324, LEC 1, 2, Bilal Tanweer, Acad Block A-9, TR
POL 2214, LEC 1, 2, Farhat Haq, SAHSOL ARDCR 0-07, TR
SOC 334, LEC 1, 2, Umair Javed, SAHSOL SIACR 0-06, MW
POL 3302, LEC 1, 2, Syed Rashid Munir, SBASSE 10-204, TR
PSY 212, LEC 1, 2, Imran Rashid, SAHSOL CR 1-01, MW
LAW 222, LEC 1, 2, Syeda Zehra Zaidi, SAHSOL CR 2-07, MW
CHE 710, LEC 1, 1.5, Shahana Khurshid, SBASSE 10-304, MW
LAW 338, LEC 1, 2, Raza Saeed SAHSOL, LAW-FACLOU, TR
REL 200, LEC 1, 2, Essam Fahim, Acad Block A-4, MW
EDU 325, LEC 1, 1.5, Mehreen Noon, Lib Bldg SOE 03, MW
SS 100, LEC 6, 2, Rizvi, Acad Block A-6, MW
SS 100, LEC 19, 2, Aneeqa Mazhar Wattoo, Acad Block A-16, MW
SS 100, LEC 20, 2, Zainab Sattar, SAHSOL SIACR 0-06, MW
SS 100, LEC 12, 2, Afsheen Salahuddin, SAHSOL MMACR 1-02, MW
SS 100, LEC 22, 2, Farhana Shahzad, Acad Block A-6, MW
